Problem:    
Rows:       6374
Columns:    1664
Non-zeros:  34364
Status:     OPTIMAL
Objective:  Z = 80000 (MINimum)

   No.   Row name   St   Activity     Lower bound   Upper bound    Marginal
------ ------------ -- ------------- ------------- ------------- -------------
   421 c_uf_421     NU             0                           0        -50000 
   422 c_uf_422     NU             0                           0      -33333.3 
   423 c_uf_423     NU             0                           0        -25000 
   424 c_uf_424     NU             0                           0        -50000 
   425 c_uf_425     NU             0                           0        -40000 
   426 c_uf_426     NU             0                           0        -25000 
   427 c_uf_427     NU             0                           0      -33333.3 
   428 c_uf_428     NU             0                           0        -50000 
   429 c_uf_429     NU             0                           0        -40000 
   430 c_uf_430     NU             0                           0        -25000 
   431 c_uf_431     B          -0.25                           0 
   432 c_uf_432     B           -0.5                           0 
   433 c_uf_433     B              0                           0 
   434 c_uf_434     B          -0.25                           0 
   435 c_uf_435     B           -0.5                           0 
   436 c_uf_436     B          -0.02                           0 
   437 c_uf_437     B              0                           0 
   438 c_uf_438     B              0                           0 
   439 c_uf_439     B              0                           0 
   440 c_uf_440     B              0                           0 
   441 c_uf_441     NU             0                           0       -141667 
   442 c_uf_442     NU             0                           0       -127778 
   443 c_uf_443     NU             0                           0       -108333 
   444 c_uf_444     NU             0                           0       -125000 
   445 c_uf_445     NU             0                           0       -140000 
   446 c_uf_446     NU             0                           0       -115000 
   447 c_uf_447     NU             0                           0        -50000 
   448 c_uf_448     NU             0                           0       -128889 
   449 c_uf_449     NU             0                           0       -113333 
   450 c_uf_450     NU             0                           0       -116667 
   451 c_uf_451     NU             0                           0       -100000 
   452 c_uf_452     NU             0                           0      -77777.8 
   453 c_uf_453     NU             0                           0      -66666.7 
   454 c_uf_454     NU             0                           0      -83333.3 
   455 c_uf_455     NU             0                           0        -90000 
   456 c_uf_456     NU             0                           0        -65000 
   457 c_uf_457     NU             0                           0      -83333.3 
   458 c_uf_458     NU             0                           0      -83333.3 
   459 c_uf_459     NU             0                           0      -73333.3 
   460 c_uf_460     NU             0                           0        -75000 
   461 c_uf_461     NU             0                           0        -50000 
   462 c_uf_462     NU             0                           0      -33333.3 
   463 c_uf_463     NU             0                           0        -25000 
   464 c_uf_464     NU             0                           0        -50000 
   465 c_uf_465     NU             0                           0        -40000 
   466 c_uf_466     NU             0                           0        -25000 
   467 c_uf_467     NU             0                           0      -33333.3 
   468 c_uf_468     NU             0                           0        -50000 
   469 c_uf_469     NU             0                           0        -40000 
   470 c_uf_470     NU             0                           0        -25000 
   471 c_uf_471     B              0                           0 
   472 c_uf_472     B              0                           0 
   473 c_uf_473     B              0                           0 
